accuracy,loss,val_accuracy,val_loss
0.3008849620819092,1.2265198230743408,0.3103448152542114,1.214542269706726
0.5840708017349243,1.033072590827942,0.48275861144065857,0.988370954990387
0.6194690465927124,0.9285604953765869,0.8275862336158752,0.8206945061683655
0.7256637215614319,0.8427542448043823,0.8965517282485962,0.6946362257003784
0.8672566413879395,0.7002254128456116,0.931034505367279,0.5861868262290955
0.8495575189590454,0.6247422099113464,0.9655172228813171,0.4886474609375
0.9203540086746216,0.5339817404747009,0.9655172228813171,0.40627458691596985
0.9115044474601746,0.46200212836265564,1.0,0.3337646424770355
0.9292035102844238,0.4015917181968689,1.0,0.27223753929138184
0.9380530714988708,0.3564702868461609,1.0,0.22130648791790009
0.9469026327133179,0.30470892786979675,1.0,0.18061694502830505
0.9557521939277649,0.2549862265586853,1.0,0.149155393242836
0.982300877571106,0.20384030044078827,1.0,0.1264921873807907
0.982300877571106,0.18421147763729095,1.0,0.10826244205236435
0.9557521939277649,0.1799318939447403,1.0,0.09184832870960236
0.991150438785553,0.15340715646743774,1.0,0.07730364054441452
0.9734513163566589,0.1293744593858719,1.0,0.06471812725067139
0.991150438785553,0.10473045706748962,1.0,0.05542464554309845
0.982300877571106,0.11688286066055298,1.0,0.0468779057264328
0.991150438785553,0.0885382890701294,1.0,0.03991575166583061
0.991150438785553,0.08601842820644379,1.0,0.034207090735435486
1.0,0.07613392919301987,1.0,0.030617188662290573
0.9734513163566589,0.08480203151702881,1.0,0.028009438887238503
1.0,0.060611218214035034,1.0,0.02569057233631611
1.0,0.05923164263367653,1.0,0.023669537156820297
0.991150438785553,0.06916193664073944,1.0,0.021114839240908623
1.0,0.03884974494576454,1.0,0.018458303064107895
1.0,0.03399194777011871,1.0,0.01644347421824932
1.0,0.043517012149095535,1.0,0.015073860064148903
1.0,0.029350673779845238,1.0,0.013801890425384045
0.991150438785553,0.03533525764942169,1.0,0.012776894494891167
1.0,0.033070243895053864,1.0,0.011977705173194408
1.0,0.035977207124233246,1.0,0.01163280289620161
1.0,0.035174328833818436,1.0,0.010813266970217228
1.0,0.030137211084365845,1.0,0.009419928304851055
1.0,0.026585960760712624,1.0,0.0080039007589221
1.0,0.02654656395316124,1.0,0.007200414780527353
0.991150438785553,0.025181803852319717,1.0,0.006714432965964079
1.0,0.02492406591773033,1.0,0.006379066035151482
1.0,0.015914496034383774,1.0,0.006032172590494156
1.0,0.019809911027550697,1.0,0.0056623914279043674
1.0,0.013323272578418255,1.0,0.005145690403878689
1.0,0.020277248695492744,1.0,0.004759826697409153
1.0,0.01751614920794964,1.0,0.004501234274357557
1.0,0.016940955072641373,1.0,0.0042604003101587296
1.0,0.020453479140996933,1.0,0.00400799885392189
1.0,0.017353061586618423,1.0,0.004025016445666552
1.0,0.013377626426517963,1.0,0.003771501360461116
1.0,0.011628569103777409,1.0,0.003528028726577759
1.0,0.011561933904886246,1.0,0.003237189957872033
1.0,0.011694963090121746,1.0,0.003065205877646804
1.0,0.016749493777751923,1.0,0.003020249539986253
1.0,0.009009426459670067,1.0,0.002843997674062848
1.0,0.008936428464949131,1.0,0.00273652421310544
1.0,0.0091688372194767,1.0,0.00269519817084074
1.0,0.010969439521431923,1.0,0.0026226728223264217
1.0,0.008653154596686363,1.0,0.0024571134708821774
1.0,0.007920349016785622,1.0,0.0023014326579868793
1.0,0.008020702749490738,1.0,0.0021844764705747366
1.0,0.007032919675111771,1.0,0.002087079221382737
1.0,0.007194430101662874,1.0,0.0020701808389276266
1.0,0.010945817455649376,1.0,0.0019160655792802572
1.0,0.005743285641074181,1.0,0.0018062139861285686
1.0,0.008674630895256996,1.0,0.001740182633511722
1.0,0.006328588351607323,1.0,0.0015709497965872288
1.0,0.0055525777861475945,1.0,0.0014579162234440446
1.0,0.011457595974206924,1.0,0.0013170718448236585
1.0,0.006866534240543842,1.0,0.001221043523401022
1.0,0.005359788425266743,1.0,0.0011916481889784336
1.0,0.006629017647355795,1.0,0.0011728164972737432
1.0,0.005775973200798035,1.0,0.0011562966974452138
0.991150438785553,0.010519608855247498,1.0,0.0010839537717401981
1.0,0.00700248870998621,1.0,0.0010038652690127492
1.0,0.008110475726425648,1.0,0.0009581048507243395
1.0,0.006438442971557379,1.0,0.0009250566945411265
1.0,0.008233223110437393,1.0,0.0008620190783403814
1.0,0.005494312848895788,1.0,0.0008464393904432654
1.0,0.004894972778856754,1.0,0.0008601254085078835
1.0,0.0066254050470888615,1.0,0.0008814986213110387
1.0,0.003277721581980586,1.0,0.0009009249624796212
1.0,0.003951327409595251,1.0,0.0008955135708674788
1.0,0.0033550425432622433,1.0,0.0008803539676591754
1.0,0.004160083830356598,1.0,0.0008870275923982263
1.0,0.004843842703849077,1.0,0.000864621193613857
1.0,0.0073332227766513824,1.0,0.0008072046912275255
1.0,0.003981736954301596,1.0,0.0007656158995814621
1.0,0.00357616669498384,1.0,0.0007213572389446199
