accuracy,loss,val_accuracy,val_loss
0.4601770043373108,1.0508602857589722,0.4482758641242981,1.0408449172973633
0.6814159154891968,0.8463356494903564,0.7586206793785095,0.8399596214294434
0.8230088353157043,0.7199057936668396,0.8965517282485962,0.6711801290512085
0.8761062026023865,0.5759758353233337,0.931034505367279,0.5285764336585999
0.9026548862457275,0.49314916133880615,0.9655172228813171,0.41226431727409363
0.9557521939277649,0.3955012261867523,1.0,0.31508108973503113
0.9292035102844238,0.36118489503860474,1.0,0.23533163964748383
0.9557521939277649,0.2678983211517334,1.0,0.17947712540626526
0.9646017551422119,0.23511599004268646,1.0,0.13851438462734222
0.9557521939277649,0.21448493003845215,1.0,0.10954766720533371
0.9646017551422119,0.1538185328245163,1.0,0.09008410573005676
0.9734513163566589,0.14812114834785461,1.0,0.07442501187324524
0.9646017551422119,0.1289699673652649,1.0,0.0627676472067833
0.982300877571106,0.11966226249933243,1.0,0.054327767342329025
0.9734513163566589,0.096512071788311,1.0,0.04668556526303291
0.991150438785553,0.08006863296031952,1.0,0.040723126381635666
0.9734513163566589,0.08709140866994858,1.0,0.03596410155296326
0.991150438785553,0.07512824982404709,1.0,0.03139123693108559
0.991150438785553,0.08300554007291794,1.0,0.02749638631939888
0.991150438785553,0.08289562165737152,1.0,0.023996558040380478
1.0,0.054154172539711,1.0,0.021161679178476334
0.982300877571106,0.06762208044528961,1.0,0.0186814833432436
0.991150438785553,0.05828923359513283,1.0,0.01680295355618
1.0,0.044729575514793396,1.0,0.01564115844666958
0.991150438785553,0.05539216846227646,1.0,0.0143473781645298
0.991150438785553,0.0422060526907444,1.0,0.01322383526712656
0.991150438785553,0.04621301591396332,1.0,0.011827610433101654
1.0,0.04401892423629761,1.0,0.01058989018201828
0.991150438785553,0.039297960698604584,1.0,0.009957834146916866
1.0,0.04453030973672867,1.0,0.009062179364264011
1.0,0.02530522644519806,1.0,0.008293437771499157
0.991150438785553,0.028582142665982246,1.0,0.007702983450144529
1.0,0.02530459128320217,1.0,0.007308336906135082
0.991150438785553,0.029792120680212975,1.0,0.007155649829655886
1.0,0.016959194093942642,1.0,0.006923186592757702
1.0,0.022310981526970863,1.0,0.006518857553601265
0.991150438785553,0.029355498030781746,1.0,0.006073126569390297
1.0,0.018902581185102463,1.0,0.0058219400234520435
1.0,0.014640345238149166,1.0,0.005314830224961042
1.0,0.013033786788582802,1.0,0.004878719802945852
1.0,0.014550584368407726,1.0,0.0044596195220947266
0.991150438785553,0.01612868346273899,1.0,0.004176972433924675
1.0,0.01209726557135582,1.0,0.003934620413929224
1.0,0.012943299487233162,1.0,0.003697982057929039
1.0,0.014898551627993584,1.0,0.003563543548807502
1.0,0.01801742985844612,1.0,0.003195936093106866
1.0,0.015165264718234539,1.0,0.0029311575926840305
1.0,0.0164463110268116,1.0,0.002577568870037794
1.0,0.00836886651813984,1.0,0.0023856444749981165
1.0,0.007621839642524719,1.0,0.0023147223982959986
1.0,0.01656607910990715,1.0,0.002250183606520295
1.0,0.007456782273948193,1.0,0.0021964574698358774
1.0,0.011175025254487991,1.0,0.0021722838282585144
1.0,0.008300414308905602,1.0,0.002076090080663562
1.0,0.009069876745343208,1.0,0.0019343423191457987
1.0,0.009904416278004646,1.0,0.0018710222793743014
1.0,0.007380140013992786,1.0,0.0018279467476531863
1.0,0.011016473174095154,1.0,0.0017954378854483366
1.0,0.007928605191409588,1.0,0.0016577451024204493
1.0,0.010494392365217209,1.0,0.0015259463107213378
1.0,0.008286474272608757,1.0,0.001415969687514007
1.0,0.006495392415672541,1.0,0.0013312145601958036
1.0,0.006598516833037138,1.0,0.0012793169589713216
1.0,0.005413309670984745,1.0,0.001238073455169797
1.0,0.006376434583216906,1.0,0.0012115403078496456
1.0,0.0036142824683338404,1.0,0.0011932587949559093
1.0,0.007848376408219337,1.0,0.0011808527633547783
1.0,0.0038501895032823086,1.0,0.0011623179307207465
1.0,0.004403639584779739,1.0,0.0011463421396911144
1.0,0.0069970013573765755,1.0,0.0010982089443132281
1.0,0.009895342402160168,1.0,0.0009231999283656478
1.0,0.005509423557668924,1.0,0.0008198731811717153
1.0,0.004689348861575127,1.0,0.0007656117668375373
0.991150438785553,0.01750134490430355,1.0,0.0007001794874668121
1.0,0.006275995634496212,1.0,0.0006538620800711215
1.0,0.006999030709266663,1.0,0.0005969591438770294
1.0,0.009267917834222317,1.0,0.0005857725045643747
1.0,0.00737446453422308,1.0,0.0005961859715171158
1.0,0.003954061307013035,1.0,0.0006080787861719728
1.0,0.003589859465137124,1.0,0.0006033399840816855
1.0,0.004589904565364122,1.0,0.00059592688921839
1.0,0.004068291746079922,1.0,0.0005833511240780354
1.0,0.003675903892144561,1.0,0.0005772802396677434
1.0,0.006591336335986853,1.0,0.0005311169079504907
1.0,0.0035389342810958624,1.0,0.0005043664714321494
1.0,0.006711116526275873,1.0,0.000533979618921876
1.0,0.008929993957281113,1.0,0.0005268516833893955
